Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
2015-01-03,0,1,2,4.0,36,18.0,0,36,2.0,7,3.5,8,0,0,0,0.0,0.0
2015-09-13,0,0,4,4.0,34,8.5,0,12,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-09-20,0,0,2,2.0,17,8.5,0,17,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-09-27,1,1,0,1.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-10-05,1,1,4,5.0,58,14.5,0,23,1.0,1,1.0,1,0,1,1,0.0,0.0
2015-10-11,0,0,2,5.0,29,14.5,0,22,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-10-18,1,0,0,2.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-10-22,0,1,5,5.0,79,15.8,1,43,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-11-01,0,1,3,4.0,36,12.0,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-11-15,1,0,1,1.0,7,7.0,0,7,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-11-22,1,1,4,5.0,48,12.0,2,24,1.0,5,5.0,5,0,0,0,0.0,0.0
2015-11-29,1,1,3,3.0,38,12.7,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-12-06,0,1,7,7.0,90,12.9,0,29,1.0,7,7.0,7,0,1,0,0.0,0.0
2015-12-13,0,1,6,7.0,104,17.3,2,49,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-12-20,1,1,5,7.0,55,11.0,1,27,0.0,0,0.0,0,0,0,0,0.0,0.0
2015-12-27,1,0,3,7.0,33,11.0,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2016-09-11,1,1,3,8.0,17,5.7,0,6,0.0,0,0.0,0,0,0,0,0,0
2016-09-18,0,0,4,4.0,99,24.8,0,53,0.0,0,0.0,0,0,0,0,0,0
2016-09-25,1,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0
2016-10-02,0,1,1,3.0,13,13.0,0,13,0.0,0,0.0,0,0,0,0,0,0
2016-10-16,1,1,3,5.0,23,7.7,0,10,1.0,2,2.0,2,0,0,0,0,0
2016-10-23,0,0,2,2.0,13,6.5,0,8,0.0,0,0.0,0,0,0,0,0,0
2016-10-30,0,0,4,4.0,32,8.0,0,10,0.0,0,0.0,0,0,0,0,0,0
2016-11-07,1,1,1,2.0,17,17.0,0,17,1.0,13,13.0,13,0,0,0,,
2016-11-13,0,1,3,6.0,72,24.0,0,36,0.0,0,0.0,0,0,0,0,0,0
2016-11-20,1,1,2,3.0,39,19.5,0,30,0.0,0,0.0,0,0,0,0,0,0
2016-11-27,0,0,0,6.0,0,0.0,0,0,1.0,9,9.0,9,0,0,0,0,0
2016-12-04,1,1,5,6.0,63,12.6,0,40,1.0,75,75.0,75,1,0,0,0,0
2016-12-11,0,0,4,6.0,41,10.3,0,15,2.0,15,7.5,13,0,0,0,0,0
2016-12-15,1,1,7,8.0,130,18.6,1,57,0.0,0,0.0,0,0,0,0,0,0
2016-12-24,1,0,2,3.0,38,19.0,0,28,0.0,0,0.0,0,0,0,0,0,0
2017-09-10,0,0,1,3.0,8,8.0,0,8,0.0,0,0.0,0,0,0,0,0,0
2017-09-17,1,1,6,9.0,64,10.7,0,22,0.0,0,0.0,0,0,0,0,0,0
2017-09-24,0,0,2,3.0,30,15.0,0,16,0.0,0,0.0,0,0,0,0,0,0
2017-10-01,1,1,4,5.0,67,16.8,0,41,2.0,24,12.0,22,0,0,0,0,0
2017-10-08,0,1,3,4.0,26,8.7,0,12,1.0,7,7.0,7,0,0,0,0,0
2017-10-22,0,1,4,7.0,29,7.3,0,14,3.0,15,5.0,6,0,0,0,0,0
2017-10-29,1,1,6,8.0,121,20.2,0,54,1.0,-2,-2.0,-2,0,0,0,0,0
2017-11-05,1,0,2,8.0,10,5.0,0,6,0.0,0,0.0,0,0,0,0,0,0
2017-11-09,0,1,1,2.0,16,16.0,0,16,0.0,0,0.0,0,0,0,0,0,0
2017-11-20,1,0,4,5.0,37,9.3,0,14,0.0,0,0.0,0,0,0,0,,
2017-11-26,0,1,0,1.0,0,0.0,0,0,1.0,2,2.0,2,0,0,0,0,0
2017-12-03,1,1,2,2.0,17,8.5,1,16,0.0,0,0.0,0,0,0,0,0,0
2017-12-10,0,0,4,5.0,90,22.5,1,74,1.0,10,10.0,10,0,0,0,0,0
2017-12-17,1,0,2,3.0,8,4.0,0,4,0.0,0,0.0,0,0,0,0,0,0
2017-12-24,0,1,1,2.0,7,7.0,0,7,1.0,2,2.0,2,0,0,0,0,0
2017-12-31,1,0,3,4.0,25,8.3,0,18,0.0,0,0.0,0,0,0,0,0,0
2018-09-09,0,0,3,4.0,59,19.7,1,51,0.0,0,0.0,0,0,0,0,0,0
2018-09-17,0,0,5,7.0,60,12.0,1,20,0.0,0,0.0,0,0,1,0,,
2018-09-23,1,1,4,6.0,77,19.3,1,52,1.0,5,5.0,5,0,0,0,0,0
2018-09-30,0,1,5,6.0,53,10.6,0,13,0.0,0,0.0,0,0,0,0,0,0
2018-10-07,1,0,3,4.0,98,32.7,1,44,1.0,6,6.0,6,0,0,0,0,0
2018-10-14,1,1,3,4.0,13,4.3,1,10,1.0,7,7.0,7,0,0,0,0,0
2018-10-28,0,1,2,2.0,34,17.0,1,24,2.0,13,6.5,10,0,0,0,0,0
2018-11-04,1,0,3,4.0,22,7.3,0,9,0.0,0,0.0,0,0,0,0,0,0
2018-11-11,0,0,5,6.0,67,13.4,1,29,1.0,18,18.0,18,0,0,0,0,0
2018-11-15,1,1,5,5.0,71,14.2,0,34,1.0,1,1.0,1,0,0,0,0,0
2018-11-25,0,1,5,5.0,107,21.4,1,43,1.0,-2,-2.0,-2,0,0,0,0,0
2018-12-02,1,1,1,2.0,52,52.0,1,52,1.0,10,10.0,10,0,0,0,0,0
2018-12-10,1,1,5,6.0,42,8.4,0,14,2.0,-3,-1.5,1,0,0,0,,
2018-12-16,0,0,2,2.0,45,22.5,0,28,1.0,11,11.0,7,0,0,0,0,0
2018-12-23,1,1,4,5.0,99,24.8,0,45,0.0,0,0.0,0,0,1,0,0,0
2018-12-30,1,1,2,2.0,66,33.0,1,37,1.0,3,3.0,3,0,0,0,0,0
2019-09-08,1,1,1,2.0,44,44.0,1,44,0.0,0,0.0,0,0,0,0,0,0
2019-09-15,0,1,10,12.0,79,7.9,0,22,0.0,0,0.0,0,0,0,0,0,0
