Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
2016-01-01,1,1,15.0,65.0,4.3,1.0,14.0,1.0,1.0,3.0,3.0,0.0,3.0,0,0,0.0,0.0
2016-09-11,1,0,5.0,3.0,0.6,0.0,5.0,2.0,2.0,41.0,20.5,0.0,29.0,0,0,0.0,0.0
2016-09-18,0,1,9.0,40.0,4.4,0.0,9.0,1.0,1.0,9.0,9.0,0.0,9.0,0,0,0.0,0.0
2016-09-25,1,0,10.0,45.0,4.5,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-10-02,0,0,3.0,9.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-10-09,0,1,7.0,54.0,7.7,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-10-16,1,1,2.0,7.0,3.5,0.0,4.0,2.0,2.0,20.0,10.0,0.0,12.0,0,0,0.0,0.0
2016-10-23,1,0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-10-27,1,1,16.0,60.0,3.8,1.0,15.0,4.0,5.0,37.0,9.3,0.0,15.0,0,0,0.0,0.0
2016-11-13,1,1,9.0,31.0,3.4,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-11-20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-11-27,0,1,8.0,60.0,7.5,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-12-11,1,1,12.0,42.0,3.5,0.0,6.0,1.0,1.0,5.0,5.0,0.0,5.0,0,0,0.0,0.0
2016-12-18,0,1,9.0,58.0,6.4,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2016-12-24,0,0,4.0,13.0,3.3,0.0,10.0,2.0,2.0,22.0,11.0,0.0,11.0,0,0,0.0,0.0
2017-09-10,1,0,6.0,25.0,4.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-09-17,0,1,14.0,92.0,6.6,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-09-24,1,1,13.0,54.0,4.2,0.0,25.0,1.0,1.0,10.0,10.0,0.0,10.0,0,0,0,0
2017-10-01,0,0,6.0,7.0,1.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-10-08,0,0,4.0,9.0,2.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-10-16,1,1,19.0,131.0,6.9,1.0,72.0,1.0,1.0,14.0,14.0,0.0,14.0,0,0,,
2017-10-22,0,1,13.0,13.0,1.0,0.0,9.0,2.0,3.0,11.0,5.5,0.0,8.0,0,0,0,0
2017-11-05,1,1,8.0,26.0,3.3,1.0,10.0,2.0,2.0,10.0,5.0,0.0,6.0,0,0,0,0
2017-11-12,1,1,11.0,52.0,4.7,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-11-16,0,0,7.0,32.0,4.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-11-26,0,1,13.0,79.0,6.1,0.0,16.0,1.0,2.0,10.0,10.0,0.0,10.0,0,0,0,0
2017-12-03,1,1,11.0,109.0,9.9,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2017-12-10,0,0,8.0,20.0,2.5,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2017-12-17,0,0,7.0,19.0,2.7,0.0,10.0,2.0,2.0,9.0,4.5,0.0,8.0,0,0,0,0
2017-12-24,1,0,8.0,25.0,3.1,0.0,10.0,1.0,1.0,6.0,6.0,0.0,6.0,0,0,0,0
2017-12-31,1,1,28.0,51.0,1.8,0.0,13.0,1.0,2.0,66.0,66.0,1.0,66.0,0,0,0,0
2018-09-09,0,0,10.0,26.0,2.6,0.0,5.0,1.0,1.0,5.0,5.0,0.0,5.0,0,0,0,0
2018-09-16,1,1,18.0,56.0,3.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-09-23,0,1,18.0,57.0,3.2,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-09-30,1,1,8.0,24.0,3.0,0.0,14.0,2.0,2.0,7.0,3.5,0.0,13.0,0,0,0,0
2018-10-07,0,0,11.0,56.0,5.1,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-10-14,1,0,7.0,21.0,3.0,0.0,6.0,1.0,1.0,5.0,5.0,0.0,5.0,0,0,0,0
2018-10-21,1,0,12.0,33.0,2.8,1.0,7.0,2.0,2.0,32.0,16.0,0.0,21.0,0,0,0,0
2018-11-05,0,1,6.0,27.0,4.5,1.0,13.0,2.0,2.0,5.0,2.5,0.0,3.0,0,0,,
2018-11-11,1,1,11.0,58.0,5.3,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-11-18,0,0,9.0,46.0,5.1,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-11-26,0,0,8.0,30.0,3.8,0.0,8.0,2.0,3.0,19.0,9.5,0.0,11.0,1,1,0,0
2018-12-02,1,1,10.0,40.0,4.0,1.0,12.0,2.0,2.0,5.0,2.5,0.0,4.0,0,0,0,0
2018-12-06,1,1,17.0,238.0,14.0,4.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-12-16,0,1,33.0,170.0,5.2,2.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-12-22,1,1,21.0,84.0,4.0,1.0,18.0,1.0,1.0,8.0,8.0,0.0,8.0,0,0,0,0
2018-12-30,1,0,16.0,93.0,5.8,0.0,33.0,1.0,1.0,13.0,13.0,0.0,13.0,0,0,0,0
2019-09-08,0,1,19.0,84.0,4.4,1.0,18.0,1.0,2.0,75.0,75.0,1.0,75.0,0,0,0.0,0.0
2019-09-15,1,0,15.0,82.0,5.5,1.0,18.0,2.0,3.0,12.0,6.0,0.0,9.0,1,0,0.0,0.0
2019-09-19,0,0,17.0,44.0,2.6,1.0,11.0,1.0,2.0,2.0,2.0,0.0,2.0,0,0,0.0,0.0
2019-09-29,0,1,27.0,100.0,3.7,0.0,16.0,1.0,1.0,8.0,8.0,0.0,8.0,1,0,0.0,0.0
2019-10-06,1,0,20.0,78.0,3.9,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2019-10-13,0,0,15.0,28.0,1.9,0.0,6.0,1.0,3.0,5.0,5.0,0.0,5.0,0,0,0.0,0.0
2019-10-20,1,1,22.0,90.0,4.1,1.0,12.0,1.0,1.0,18.0,18.0,0.0,18.0,0,0,0.0,0.0
2019-10-27,1,1,16.0,75.0,4.7,0.0,34.0,1.0,1.0,8.0,8.0,0.0,8.0,1,1,0.0,0.0
2019-11-03,0,0,13.0,63.0,4.8,1.0,12.0,3.0,3.0,36.0,12.0,1.0,23.0,0,0,0.0,0.0
