Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2019-09-08,1,0,29,54.0,308.0,53.7,5.7,2,1,45.0,5.0,75.2,26.2,3.0,13,4.3,0.0,9.0
2019-09-15,0,0,25,40.0,349.0,62.5,8.7,0,0,54.0,3.0,90.5,68.1,3.0,4,1.3,0.0,7.0
2019-09-22,1,0,30,43.0,173.0,69.8,4.0,2,2,23.0,8.0,73.1,64.0,8.0,69,8.6,0.0,20.0
2019-09-29,1,0,22,32.0,241.0,68.8,7.5,0,1,31.0,4.0,77.7,28.9,4.0,27,6.8,1.0,15.0
2019-10-06,0,1,20,32.0,253.0,62.5,7.9,0,0,28.0,1.0,87.1,80.2,10.0,93,9.3,1.0,24.0
2019-10-13,1,1,27,37.0,340.0,73.0,9.2,3,0,58.0,0.0,128.2,86.0,11.0,32,2.9,0.0,14.0
2019-10-20,0,1,14,21.0,104.0,66.7,5.0,0,0,12.0,2.0,78.3,50.7,10.0,28,2.8,0.0,11.0
2019-10-27,0,0,19,33.0,220.0,57.6,6.7,0,0,47.0,3.0,77.8,46.0,2.0,13,6.5,0.0,8.0
2019-10-31,1,0,17,24.0,241.0,70.8,10.0,2,0,88.0,3.0,130.7,39.2,5.0,34,6.8,0.0,21.0
2019-11-10,0,0,27,44.0,324.0,61.4,7.4,3,1,69.0,2.0,97.2,71.5,3.0,38,12.7,0.0,32.0
2019-11-17,0,0,24,33.0,150.0,72.7,4.5,2,0,23.0,4.0,101.8,89.4,8.0,67,8.4,1.0,22.0
2019-12-01,1,0,19,34.0,163.0,55.9,4.8,0,1,23.0,6.0,56.4,12.0,4.0,28,7.0,1.0,15.0
2019-12-08,1,0,20,30.0,194.0,66.7,6.5,2,3,31.0,5.0,67.2,21.8,6.0,2,0.3,0.0,8.0
2019-12-15,1,1,19,25.0,219.0,76.0,8.8,1,1,51.0,0.0,98.6,90.6,8.0,56,7.0,0.0,35.0
