Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
2022-09-03,1,1,16,24.0,225.0,66.7,2.0,1.0,43.0,1.0,164.6,71.8,1.0,-9.0,-9.0,0.0,0.0
2022-09-10,1,0,9,12.0,134.0,75.0,0.0,0.0,46.0,0.0,168.8,95.9,0.0,0.0,0.0,0.0,0.0
2022-10-08,1,1,21,31.0,289.0,67.7,4.0,1.0,38.0,0.0,182.2,93.2,2.0,17.0,8.5,0.0,16.0
2022-10-15,1,1,17,26.0,172.0,65.4,3.0,0.0,26.0,0.0,159.0,81.8,2.0,-13.0,-6.5,0.0,3.0
2022-10-22,0,0,19,49.0,319.0,38.8,2.0,3.0,41.0,1.0,94.7,40.6,1.0,-1.0,-1.0,0.0,0.0
2022-11-05,0,1,18,31.0,197.0,58.1,2.0,0.0,21.0,0.0,132.7,85.9,1.0,0.0,0.0,0.0,0.0
2022-11-12,1,0,17,39.0,171.0,43.6,0.0,1.0,25.0,2.0,75.3,18.5,5.0,-15.0,-3.0,0.0,3.0
2022-11-19,0,1,12,21.0,107.0,57.1,1.0,0.0,24.0,0.0,115.7,59.0,2.0,11.0,5.5,0.0,7.0
2022-11-25,1,1,12,16.0,194.0,75.0,0.0,0.0,37.0,5.0,176.9,46.2,6.0,-48.0,-8.0,1.0,3.0
2023-09-02,1,1,19,30.0,260.0,63.3,3.0,0.0,44.0,3.0,169.1,59.1,8.0,12.0,1.5,1.0,16.0
2023-09-09,0,1,24,38.0,349.0,63.2,3.0,0.0,50.0,0.0,166.4,90.8,3.0,11.0,3.7,0.0,11.0
2023-09-16,1,1,11,21.0,131.0,52.4,2.0,0.0,44.0,1.0,136.2,64.6,2.0,-5.0,-2.5,1.0,5.0
2023-09-23,0,1,18,23.0,293.0,78.3,1.0,0.0,51.0,3.0,199.6,95.1,5.0,16.0,3.2,1.0,29.0
2023-09-30,1,1,25,35.0,325.0,71.4,1.0,1.0,39.0,2.0,153.1,85.8,7.0,40.0,5.7,2.0,30.0
2023-10-07,1,0,31,37.0,346.0,83.8,1.0,2.0,39.0,5.0,160.4,76.5,8.0,-14.0,-1.8,0.0,6.0
2023-10-21,0,1,23,29.0,211.0,79.3,2.0,0.0,42.0,3.0,163.2,53.2,6.0,-7.0,-1.2,0.0,6.0
2023-11-11,0,1,22,33.0,317.0,66.7,1.0,1.0,73.0,0.0,151.3,81.0,1.0,0.0,0.0,0.0,0.0
2023-11-18,0,1,23,33.0,281.0,69.7,2.0,0.0,31.0,4.0,161.2,72.0,4.0,-25.0,-6.3,0.0,0.0
2023-11-24,1,1,17,26.0,196.0,65.4,1.0,1.0,23.0,3.0,133.7,20.8,4.0,-13.0,-3.3,0.0,0.0
2023-12-02,1,1,35,46.0,452.0,76.1,4.0,1.0,62.0,1.0,183.0,97.0,3.0,6.0,2.0,0.0,10.0
2024-08-31,1,1,20,27.0,260.0,74.1,3.0,1.0,38.0,1.0,184.2,71.3,1.0,-6.0,-6.0,0.0,0.0
2024-09-07,0,1,24,36.0,246.0,66.7,3.0,0.0,33.0,0.0,151.6,90.2,4.0,0.0,0.0,0.0,8.0
2024-09-14,1,1,14,16.0,185.0,87.5,2.0,1.0,49.0,0.0,213.4,85.8,1.0,7.0,7.0,0.0,7.0
