Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 12/30,vsARI,W27-24,2,2,66,33.0,1,37,1,3,3.0,3,0,0,0,0,0
Sun 12/23,vsKC,W38-31,4,5,99,24.8,0,45,0,0,0.0,0,0,1,0,0,0
Sun 12/16,@SF,L26-23 OT,2,2,45,22.5,0,28,1,11,11.0,7,0,0,0,0,0
Mon 12/10,vsMIN,W21-7,5,6,42,8.4,0,14,2,-3,-1.5,1,0,0,0,-,-
Sun 12/2,vsSF,W43-16,1,2,52,52.0,1,52,1,10,10.0,10,0,0,0,0,0
Sun 11/25,@CAR,W30-27,5,5,107,21.4,1,43,1,-2,-2.0,-2,0,0,0,0,0
Thu 11/15,vsGB,W27-24,5,5,71,14.2,0,34,1,1,1.0,1,0,0,0,0,0
Sun 11/11,@LAR,L36-31,5,6,67,13.4,1,29,1,18,18.0,18,0,0,0,0,0
Sun 11/4,vsLAC,L25-17,3,4,22,7.3,0,9,0,0,0.0,0,0,0,0,0,0
Sun 10/28,@DET,W28-14,2,2,34,17.0,1,24,2,13,6.5,10,0,0,0,0,0
Sun 10/14,vsOAK,W27-3,3,4,13,4.3,1,10,1,7,7.0,7,0,0,0,0,0
Sun 10/7,vsLAR,L33-31,3,4,98,32.7,1,44,1,6,6.0,6,0,0,0,0,0
Sun 9/30,@ARI,W20-17,5,6,53,10.6,0,13,0,0,0.0,0,0,0,0,0,0
Sun 9/23,vsDAL,W24-13,4,6,77,19.3,1,52,1,5,5.0,5,0,0,0,0,0
Mon 9/17,@CHI,L24-17,5,7,60,12.0,1,20,0,0,0.0,0,0,1,0,-,-
Sun 9/9,@DEN,L27-24,3,4,59,19.7,1,51,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,57,70,965,16.9,10,52,13,69,5.3,18,0,1,0,0,0,,
