Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 12/30,vsIND,L33-17,16,93,5.8,0,33,1,1,13,13.0,0,13,0,0,0,0
Sat 12/22,vsWSH,W25-16,21,84,4.0,1,18,1,1,8,8.0,0,8,0,0,0,0
Sun 12/16,@NYG,W17-0,33,170,5.2,2,22,1,1,0,0.0,0,0,0,0,0,0
Thu 12/6,vsJAX,W30-9,17,238,14.0,4,99,0,0,0,0.0,0,0,0,0,0,0
Sun 12/2,vsNYJ,W26-22,10,40,4.0,1,12,2,2,5,2.5,0,4,0,0,0,0
Mon 11/26,@HOU,L34-17,8,30,3.8,0,8,2,3,19,9.5,0,11,1,1,0,0
Sun 11/18,@IND,L38-10,9,46,5.1,0,16,0,0,0,0.0,0,0,0,0,0,0
Sun 11/11,vsNE,W34-10,11,58,5.3,2,14,0,0,0,0.0,0,0,0,0,0,0
Mon 11/5,@DAL,W28-14,6,27,4.5,1,13,2,2,5,2.5,0,3,0,0,-,-
Sun 10/21,vsLAC,L20-19,12,33,2.8,1,7,2,2,32,16.0,0,21,0,0,0,0
Sun 10/14,vsBAL,L21-0,7,21,3.0,0,6,1,1,5,5.0,0,5,0,0,0,0
Sun 10/7,@BUF,L13-12,11,56,5.1,0,14,0,1,0,0.0,0,0,0,0,0,0
Sun 9/30,vsPHI,W26-23 OT,8,24,3.0,0,14,2,2,7,3.5,0,13,0,0,0,0
Sun 9/23,@JAX,W9-6,18,57,3.2,0,14,0,1,0,0.0,0,0,0,0,0,0
Sun 9/16,vsHOU,W20-17,18,56,3.1,0,9,0,0,0,0.0,0,0,0,0,0,0
Sun 9/9,@MIA,L27-20,10,26,2.6,0,5,1,1,5,5.0,0,5,0,0,0,0
Regular Season Stats,215,"1,059",4.9,12,99,15,18,99,6.6,0,21,1,1,0,0,,
