Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Mon 1/3,@PIT,L26-14,16,38,185,42.1,4.9,2,2,39,9,53.1,19.5,2,16,8.0,0,14
Sat 12/25,@GB,L24-22,21,36,222,58.3,6.2,2,4,40,5,55.3,41.0,2,11,5.5,0,12
Sun 12/12,vsBAL,W24-22,22,32,190,68.8,5.9,2,1,34,0,91.9,58.5,6,14,2.3,0,6
Sun 11/28,@BAL,L16-10,18,37,247,48.7,6.7,1,0,41,2,79.4,44.4,2,4,2.0,0,3
Sun 11/21,vsDET,W13-10,15,29,176,51.7,6.1,1,2,37,1,53.2,10.5,4,9,2.3,0,7
Sun 11/14,@NE,L45-7,11,21,73,52.4,3.5,1,1,13,2,56.2,34.1,0,0,0.0,0,0
Sun 11/7,@CIN,W41-16,14,21,218,66.7,10.4,2,0,60,2,132.6,85.4,0,0,0.0,0,0
Sun 10/31,vsPIT,L15-10,20,31,225,64.5,7.3,0,0,24,4,86.1,62.4,1,5,5.0,0,5
Sun 10/17,vsARI,L37-14,19,28,234,67.9,8.4,2,1,57,5,102.4,29.9,3,8,2.7,0,4
Sun 10/10,@LAC,L47-42,23,32,305,71.9,9.5,2,0,71,1,122.5,50.2,2,8,4.0,0,7
Sun 10/3,@MIN,W14-7,15,33,155,45.5,4.7,0,0,24,3,59.5,20.3,2,11,5.5,0,6
Sun 9/26,vsCHI,W26-6,19,31,246,61.3,7.9,1,0,26,5,97.0,44.4,4,31,7.8,0,12
Sun 9/19,vsHOU,W31-21,19,21,213,90.5,10.1,1,1,33,2,105.0,57.0,8,10,1.3,1,5
Sun 9/12,@KC,L33-29,21,28,321,75.0,11.5,0,1,45,2,97.5,66.6,1,7,7.0,0,7
Regular Season Stats,253,418,"3,010",60.5,7.2,17,13,71,43,83.1,40.9,37,134,3.6,1,14,,
