Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
Sat 12/2,vs1UGA,W27-24,13,23,192,56.5,2,0,28,4,155.3,75.8,14,29,2.1,0,30
SEC Championship,,,,,,,,,,,,,,,,,
Sat 11/25,@AUB,W27-24,16,24,259,66.7,2,0,68,1,184.8,88.9,18,107,5.9,0,37
Sat 11/18,vsUTC,W66-10,13,16,197,81.3,3,0,56,1,246.6,88.3,3,-1,-0.3,0,5
Sat 11/11,@UK,W49-21,15,22,234,68.2,3,1,40,0,193.4,94.7,8,36,4.5,3,16
Sat 11/4,vs14LSU,W42-28,15,23,219,65.2,0,0,42,2,145.2,96.3,20,155,7.8,4,23
Sat 10/21,vs17TENN,W34-20,14,21,220,66.7,2,1,46,4,176.6,68.9,9,3,0.3,0,15
Sat 10/14,vsARK,W24-21,10,21,238,47.6,2,0,79,5,174.2,64.5,11,-19,-1.7,1,7
Sat 10/7,@TA&M,W26-20,21,33,321,63.6,3,1,52,6,169.3,68.5,8,-31,-3.9,0,12
Sat 9/30,@MSST,W40-17,10,12,164,83.3,0,0,27,4,198.1,97.7,11,69,6.3,2,53
Sat 9/23,vs15MISS,W24-10,17,21,225,81.0,1,1,54,4,177.1,67.7,16,28,1.8,0,20
Sat 9/9,vs11TEX,L34-24,14,27,255,51.9,2,2,49,5,140.8,61.0,15,44,2.9,0,20
Sat 9/2,vsMTSU,W56-7,13,18,194,72.2,3,0,48,2,217.8,94.4,7,48,6.9,2,25
Regular Season Stats,171,261,"2,718",65.5,23,6,79,38,177.5,83.6,140,468,3.3,12,53,,
